,id,title,viewCount,likeCount,commentCount,subscriberCount,noticeds
454,rRxw8Zgi_qI,[로블록스(Roblox)] 레전드 오브 스피드!!! 속도의 전설이 되어버릴거에요!!! 간단 리뷰 & 플레이 영상,864055.0,3771.0,742.0,813000,1.0211758009203535
306,xN0SlVhSkJA,💩새벽 응급실에서.. 쌀뻔한(?) 사연 ㅋㅋㅋㅋㅋ,850315.0,14517.0,2778.0,865000,2.8312937912296308
226,Lv8jT0tfQc4,마크고수도 모르던 마인크래프트 77가지 TMI #13 [블루위키],837047.0,8177.0,2088.0,242000,1.0181437694858204
247,Nl7p5rwUFko,미쳐버린 대학교 싸이버 강의 빌런들 모음ㅋㅋㅋ,786866.0,13181.0,526.0,361000,3.2146024329960468
17,BqEFSZ_8f2I,가짜신부의 정체? 남친을 빼앗긴 진짜신부 플레르.. 하지만 진실은 밝혀진다 결혼식을 마치고 부부가 될 수 있을까 [마인크래프트 신부쟁탈전#2]Minecraft - [플레르TV],775104.0,13140.0,1126.0,334000,3.829725190640824
638,ylTeWQSzgkw,악마의 열매가 각성을? 쿠궁쿠궁 열매 각성하기 [로블록스],763709.0,3540.0,1871.0,1000000,3.898680607765062
505,Ydo1uvmF9OM,[KBS 명작다큐] 바다의 제국 1부 - 욕망의 바다 | 대항해 시대의 시작을 알린 향신료 (후추),751918.0,6457.0,604.0,898000,0.6488613054407604
435,AXIryg6XXv4,친구 트롤하기?! 마인크래프트 광질 복불복ㅋㅋㅋ [당신의 광질 운은?!] 퀸톨 예순,727407.0,4616.0,382.0,631000,1.5800726817750341
315,WXGnSyRTWDM,카레이스키 Корейцы 고향으로 돌아오다; 광주 고려인마을 [광주MBC다큐],715066.0,5550.0,918.0,135000,0.13342557309433367
286,Qq-p_Rc9brM,옴므[꿀잼보장!! 멘붕 오토바이 점프맵!! 도전은 계속 된다!! 바이크챌린지4](GTA5 Funny Moments),713530.0,6347.0,1393.0,312000,3.7208209781292148
54,fsLcie0OQj4,크레이피쉬,706889.0,9274.0,672.0,1090000,0.885088039509559
420,Z4iPq8qQdqw,코로나 바이러스를 막아라!! [잡초 마인크래프트],672463.0,5771.0,745.0,204000,1.7284090611704712
383,lpjY4EscdI8,"지하철에서 '마스크' 안쓰는 아저씨 참교육!! ""우리 엄마가 화가 많이 났어요!!"" 공공장소에서 민폐 부리는 사람들!? 상황극 『마인크래프트』 (잉여맨 가족상황극)",659902.0,11437.0,2888.0,907000,2.3469380035067036
504,836qwmMb2uk,후추 전역했습니다!!,651518.0,13449.0,3967.0,1700000,0.5622219710103407
388,4BMJPX5BmJ4,☆지구 멸망☆ 가족들은 지하실에서 생존해야만해!! [1편] (잉여맨 가족상황극 마인크래프트),650235.0,5119.0,674.0,907000,2.3125573686853222
302,wHqE9IboAqs,설문조사하다 북한 간첩으로 의심받고 잡혀갈뻔한 썰 ㅋㅋㅋㅋㅋ,646903.0,11607.0,1217.0,865000,2.1539928702043616
421,FYU6k73zZdg,상큼하게 터지는 크리퍼 먹방...ㅎㅎ,626357.0,13919.0,631.0,204000,1.6099043580502612
478,vQUoc393lB4,"우리 반 아이, 마파가 유치원에서 토를 했다!선생님 플레르의 걱정되는 하루.. [샌박유치원 선생님#2 마인크래프트]Minecraft - [플레르TV]",605850.0,5495.0,8.0,334000,2.9934523913796336
131,yyGSRETu-10,[BRUSH] SCP-3008 이케아 애니메이션,589967.0,10470.0,256.0,446000,1.8782553302455673
110,1SAmADBVyko,집에서 겜만하던 멤버가 코로나 확진이라니..,589461.0,8527.0,568.0,1700000,2.7735912009167634
265,xGoPVsl3n1c,[얼불춤 커스텀] Plum - Maelstrom 【완벽한 플레이!】 [제작자: RedCRP],558639.0,5161.0,827.0,103000,0.8545500158323939
410,Q_GIJZVJQs8,코로나 바이러스로 인해 격리됐습니다 ㅠㅠㅣ프로연우_ProYeonwoo,555795.0,6588.0,1705.0,68300,1.6385369190040153
338,Dv7CF6j3AmY,"근본의 밴픽브금부터 K/DA까지... 라이엇이 쌓아온 음악 역사, 울프가 꼽은 역대 최고의 LOL BGM은?",555132.0,5387.0,772.0,170000,0.8676208226371745
264,cfWxzFeiIws,다시 돌아온 얼불춤 전세계 랭킹 1위 비웬! 이제 눈 감고도 클리어한다고? 비웬 장인초대석 [테스터훈],528205.0,6095.0,1714.0,1180000,0.8079951294355561
643,HEGFjAgiiIc,200kg까지 살을 찌우는 에릭,516914.0,4312.0,434.0,30100,0.8977529706010008
433,465_G3dIHHw,미친 외계인 군대가 온다..! [어떤 집은 살아남을 수 있다?! 흑요석 하우스 vs 에메랄드 하우스 *반전주의*] 퀸톨 쫀득,512636.0,3653.0,486.0,631000,1.1135473528498163
385,oCSsP2DRJgs,"😰엄마가 기억상실증에 걸렸어요.. ""누구세요..? 내가 엄마라고..? 딸..아들.. 기억못하겠어.."" (잉여맨 가족상황극 마인크래프트)",509848.0,7486.0,1489.0,907000,1.8132717391550348
450,e_1Nj64SbYg,[마인크래프트 코로나 아일랜드] 좀비들에게 점령당한 도시에 가야해요!!! 밤만되면 우르르르르르쏟아지는 좀비!! 재밌는 서바이벌맵! 간단 리뷰 & 플레이 영상,502624.0,2581.0,362.0,813000,3.1759062210921662
437,D2Wf5b61E1s,인어 쓰나미가 올 때..?! 세상에서 가장 예쁜 쓰나미?! [진주가득한 쓰나미...왕자하우스vs 조개하우스 하나는 살아남는데..과연?] 퀸톨 춘향(처음이다!!!),502221.0,4431.0,1486.0,631000,1.0909239013561038
243,G2iE56iqGq8,멍청이들이 숨바꼭질 하는 법ㅋㅋㅋ[카스온라인 숨바꼭질 모드] | 주둥이방송,494732.0,4905.0,118.0,361000,2.021140436721119
259,uyFQ3dpRcL4,스페셜솔져 드디어 S급 GOLD M870 만든다!!~ 우타스(UTS-15)의 너프!! 골구샷 재조명 각!!!,481704.0,3733.0,1007.0,148000,0.552534503009837
276,mkbiAbO4ae4,[모동숲] 함정씨앗에 넘어지면 어떻게 될까??,480573.0,4612.0,511.0,44000,2.644923598811203
294,Bn4lOuPt6-k,말도 안되는 조건으로 유저들을 미치게한 극악의 도전과제들,464235.0,5610.0,734.0,361000,1.9269523449391428
493,Ib_11sMppY4,한국사 일타강사 도전합니다.,456691.0,7156.0,774.0,1090000,0.6889765690959592
575,ApU3EOs5RlM,한 키보드로 8명이 한 몸으로 움직이는 게임｜피코 파크 #1,456334.0,5510.0,633.0,1700000,1.3630710301168651
321,oCFs_-bRihg,GTA 5 스파이더맨 모드로 할 수 있는 재미있는 놀이들 - GTA 5 Funny Moments: Grappling Hook Mod,448601.0,1863.0,231.0,849000,1.4125529319725574
300,jmAKbgi1Xpk,코로나 환자로 의심받고 헬스장에서 입구컷당한 썰 ㅋㅋㅋㅋㅋㅋ,435722.0,7858.0,1109.0,865000,1.4508235104663063
74,ONXB9HkMVdI,파괴수 펀칭 머신(마인크래프트),434509.0,7529.0,682.0,498000,0.7913939646941786
251,Y_LIPjrHF18,트랙 챔피언 유저랑 뛰어보는 날이오네 ㅋㅋ,426090.0,4498.0,785.0,920000,0.48874293422404935
419,x0hxiQYRN8U,바둑전설 이창호 인물탐구ㅣ프로연우(바둑 프로기사_ProYeonwoo),422413.0,3059.0,459.0,68300,1.245314001686311
494,smYLDVI4Tn8,오킹의 잔잔한(?) 연애상담,421019.0,7678.0,944.0,1090000,0.6351608114550356
360,o9Oizw3dE50,코로나 때문에 학교 못가니까 에란겔 학교로 등교하자 얘두라ㅋ [배그 모바일],412941.0,4037.0,1639.0,504000,3.616855537613347
425,8SR0flZk9aQ,죽음올림픽 다이빙편.... [잡초 마인크래프트],412331.0,3973.0,346.0,204000,1.059800519287279
118,fmZmScT4lK8,😎마피아 서열 1위는 누구??? (진텐주의)│마피아 서열정리 #1,408605.0,4257.0,920.0,1700000,1.220512649228968
298,8FU89t-7MPk,'데스 스트랜딩' 노만 리더스 일대기 총정리,382329.0,2920.0,509.0,478000,1.5869759132513437
486,LO_XAL0ewgI,제98강:모더나 백신 맞고 항체가 얼마나 지속이 될까?,373093.0,19718.0,1224.0,466000,1.6119784567985125
449,VHpYw1DeECs,C&C Red Alert 3 - Testing Super Units (Mod : REMIX),336965.0,4379.0,449.0,20200,2.129164623635803
279,K4Iukwbw4CU,모동숲)마을에 이사온 아이다씨와 함께하는 행복한 무인도생활^^ 저에겐 너무 과분한 그녀 #2,331090.0,3944.0,641.0,63600,1.8222158846427106
389,OXTA7ul5qjg,"지구멸망까지 60초전.. 가족들이 미쳤..다!! ""사람들의 본성이?"" (잉여맨 가족상황극 마인크래프트)",330463.0,4956.0,770.0,907000,1.1752899270692252
249,Ee0b9ZztXEw,남의 방송만 가면 정상적으로 바뀌는 유튜버ㅋㅋㅋ,328937.0,8654.0,620.0,361000,1.3438141697600616
283,FufRxPSuUzk,이게 심즈야? GTA야?? 요새 만들어서 좀비막기!! (GTA 5 Funny Moments),327009.0,4053.0,195.0,312000,1.7052428730916098
463,JgPPJKtZ3aI,🛫현직 파일럿과 함께하는 MS 플라이트 시뮬레이터2020 인천→제주 비행 영상 Full ver. ※시간 순삭 주의 [✈떴다 떴다 변비행✈ 52화],324239.0,2476.0,333.0,17400,0.9889424895217201
133,MuQW3B_gPeY,WE BUILT A SKY BASE! | Roblox SCP-3008,307236.0,7914.0,967.0,60200,0.9781354798545124
301,z_Pvz0BplbE,🔥(분노주의) 귀 안좋으신 택시기사님 때문에 죽을뻔한 역대급 발암 썰,298612.0,5624.0,775.0,865000,0.9942883538296543
272,OOJyir__lSc,[모동숲] 뻘짓하다가 버그발견 | 낮잠자기 비하인드 영상,291270.0,3789.0,481.0,91400,1.6030590495632073
485,AlKK696oj1c,제106강:얀센백신 남아공 변종에 탁월한 효능 밝혀져  (얀센 백신 VS. 화이자 백신 VS. 아스트라제네카),289095.0,10835.0,1234.0,466000,1.2490583097730752
90,K1zctgZZuXY,"코로나 누가 걸리나 싶었는데, 내가 걸림.",279978.0,5779.0,445.0,295000,8.878018547292136
322,jNriFZw5-go,잼민이 모음.zip,276577.0,4653.0,1423.0,46200,0.8708844881446407
156,jbxBaIKKuxI,지메에서 어몽어스를 검색한다면?,272527.0,3863.0,805.0,25300,0.0978515048233646
15,cE6Jz4RYie0,엄마 몰래 먹는 라면은 꿀맛..걸리지 않기를ㅋㅋ플레르의 몰래 라면 먹기 도전! [모바일게임]Mobile game - [플레르TV],271374.0,3175.0,839.0,334000,1.3408366411281105
241,VPiV9w3Z6QE,모솔 탈출했다고 자랑했다가 3일만에 차인 시청자ㅋㅋㅋ,257520.0,5747.0,348.0,361000,1.0520525966875451
592,WzWXwKcr6p4,WE BUILT A CASTLE! | Roblox SCP-3008,256642.0,6158.0,568.0,60200,0.8170603549199817
215,vdPYNS8yRdE,법 - 규 ♂ 도망쳐야 하는 '딥 다크' 유즈맵 【GAY에게 살아남기】,243015.0,1172.0,141.0,251000,3.028292223376973
72,kw-Ltkw12tI,사슬의 상태가...? (마인크래프트),242399.0,3077.0,455.0,60600,0.4414939751487408
282,EhoiBHOh2Yc,아이언맨이 돌아왔다?! 엄청난 스킬과 퀄리티!! 영화야 게임이야..? [어벤져스: 엔드게임](GTA5),240104.0,10558.0,499.0,312000,1.2520622820802727
314,FHeoLreWzzI,"[SSTV] 조정석(Jo Jung Suk)·한지상(Han Ji Sang), 광기 어린 미친 연기력 ‘몰입도 최고’ (아마데우스)",233536.0,2706.0,159.0,127000,0.0435759421342342
630,ZggzBzSbAUU,【로블록스】방역수칙을 잘 지키는 코로나 가면,229672.0,1639.0,449.0,61600,1.1185897506852844
583,Eb8hWJ8Liog,"목소리를 듣고 진짜 여자를 찾아라!! 전부 남자목소리인데....여자라고?....(VRChat, VR챗)",215332.0,3737.0,436.0,61800,3.0655693361789034
327,75Lmc6vMizQ,울산큰고래' GTA 5 퀀텀 브레이크 모드 - GTA 5 PC Mod : Quantum Break Mod [DOWNLOAD & GAMEPLAY],212906.0,2686.0,544.0,849000,0.670397512565842
273,LdzZPYv-BuU,"[모동숲] 부케, 잭슨 여기 잠들다.. | 공동'묘'지 만들기",210440.0,2355.0,486.0,91400,1.1581959913141804
635,loK8Utc_YYQ,【로블록스】 시작섬에서 뉴비들을 공격하는 친구를 혼내줬어요! [태권판다],195332.0,1374.0,351.0,61600,0.9971560901809001
23,7S7SfyVE8Zc,얀센백신 맞는 분들이 꼭 알아야 할 부작용 증상,192736.0,3069.0,719.0,702000,0.9328103378864443
71,Qz9TgySK1RU,원심분리기에 주민넣기 (마인크래프트),187727.0,2732.0,227.0,60600,0.3419170024329624
479,GyB2DKOFPGA,112) 야채괴물이 나타났어요! 🍆 [엄마가된플레르시즌2 가족상황극] - [플레르TV],179211.0,798.0,227.0,334000,0.8854660336907411
358,XNnWmwJSBbs,[심즈4] 계란과 식혜 들고 오세요! 심즈로 만드는 *여심전용* 24시 찜질방｜베이비하품,173649.0,2789.0,402.0,108000,1.5209517758009499
623,sf9w54DwIZ4,【로블록스】킹피스 레이드 좋은 열매! 초보자도 쉽게 레이드 솔플가능! (브라키오 열매),172127.0,1257.0,644.0,61600,0.8383237748450223
627,JUnncAmn4nI,로블록스 올타디 현질로 초보 탈출해버리는 영상 / 여러분의 훈수를 기다립니다【로블록스 올타디】,171100.0,1031.0,450.0,61600,0.8333218953213809
631,7lWR4hrahs0,로블록스 킹피스 대부분 몰랐던 주먹 스텟의 비밀 【흑우 실험】,170319.0,1207.0,258.0,61600,0.8694664884582185
146,zRmME5jxe4Q,【로블록스】사칭범 검거하려다 생긴 일,169565.0,2171.0,467.0,61600,1.2045076327275757
287,zQIcPqj7HZQ,GTA5에서 순간이동이 된다고?! 점퍼가 되보자!! 점퍼모드 (GTA 5 Funny Moments),167274.0,1896.0,193.0,312000,0.8722781218667558
