,id,title,viewCount,likeCount,commentCount,subscriberCount
651,s56w0aVNYTM,레.. 레드 플러시!! 근본이 넘치는 원조 '도박' 유즈맵 【포커 디펜스】,107698.0,450.0,79.0,251000
237,9GRhsaZgLxw,[빙빙뭉친디펜스] | 스타크래프트 리마스터 유즈맵,102742.0,242.0,31.0,13600
587,Fxe9KEanzD4,"VR세상에서 자고일어났더니 신이 되어있었다 (VRChat, VR챗)",102355.0,2140.0,287.0,61800
217,kKJRjr2Fi5A,스타 II 전설의 엽기 전략 리메이크 Part. 11 【황금 함대】,94214.0,1001.0,121.0,251000
528,QsdpNSelJ7o,[리니지2m]무과금은 2주일 동안 다이아를 얼마나 벌수있을까?,81951.0,848.0,153.0,50300
350,4t4zs4PLAwY,[심즈4] 코로나 바이러스로 강제 집순이가 된 유튜버의 하루 ｜베이비하품,53689.0,1122.0,158.0,108000
564,47tv3sL2irI,휴대용 고전게임기의 황제 - 게임보이 어드밴스(GBA) 액션게임 - 2부,31697.0,935.0,169.0,56300
549,amSJvO4scyU,[사이언스 취재파일] 코로나19 실험실 유출설 재점화 / YTN 사이언스,22501.0,251.0,85.0,29600
349,m0UHBI21a4A,"식사 후 계산하기, 9분생활영어, #6편-[여신채널]영어의여신",15462.0,115.0,4.0,18800
544,1iI4SCM0iNE,"美 바이든 행정부 내년 예산안 6천7백조 원...""2차 세계 대전 후 최대 지출"" / YTN",13003.0,131.0,92.0,2420000
